,POA_CODE16,POA_NAME16,AREASQKM16,hail_size
0,0800,0800,3.1734,0.0
1,0810,0810,23.7902,0.0
2,0812,0812,35.8899,0.0
3,0815,0815,0.6381,0.0
4,0820,0820,39.0462,0.0
5,0822,0822,150783.0188,1.5125
6,0828,0828,28.6532,0.0
7,0829,0829,44.8402,0.0
8,0830,0830,235.004,0.0
9,0832,0832,19.7272,0.0
10,0834,0834,32.6301,0.0
11,0835,0835,76.8403,0.0
12,0836,0836,130.9305,0.0
13,0837,0837,118.1157,0.0
14,0838,0838,86.3366,1.0
15,0839,0839,1.1346,0.0
16,0840,0840,291.4476,0.0
17,0841,0841,142.2064,1.95
18,0845,0845,115.696,0.0
19,0846,0846,146.7377,0.0
20,0847,0847,402.0523,0.0
21,0850,0850,551.1508,1.0
22,0852,0852,441673.019,2.725
23,0853,0853,106.2851,0.0
24,0854,0854,12.5633,0.0
25,0860,0860,42.0605,4.3
26,0862,0862,117526.0241,0.0
27,0870,0870,59.6122,2.966666666666667
28,0872,0872,970496.8141,3.7421052631578946
29,0873,0873,172.5253,1.0
30,0874,0874,72.1518,0.0
31,0875,0875,29.0124,0.0
32,0880,0880,88.9707,0.0
33,0885,0885,2.7429,0.0
34,0886,0886,13.5083,0.0
35,2000,2000,4.2873,5.0
36,2006,2006,0.678,0.0
37,2007,2007,0.5588,2.5
38,2008,2008,0.845,0.0
39,2009,2009,0.9325,0.0
40,2010,2010,2.1733,3.9075
41,2011,2011,1.4009,5.5
42,2015,2015,4.2156,0.0
43,2016,2016,1.1717,0.0
44,2017,2017,1.9386,0.0
45,2018,2018,3.9305,0.0
46,2019,2019,6.7991,0.0
47,2020,2020,11.9607,6.7
48,2021,2021,5.7186,5.75
49,2022,2022,1.9227,0.0
50,2023,2023,2.3732,0.0
51,2024,2024,1.9245,0.0
52,2025,2025,1.2307,0.0
53,2026,2026,3.6555,5.0
54,2027,2027,1.3761,3.0
55,2028,2028,0.7921,0.0
56,2029,2029,2.5285,0.0
57,2030,2030,4.663,2.0
58,2031,2031,6.0941,3.0
59,2032,2032,2.475,2.5
60,2033,2033,2.2349,0.0
61,2034,2034,3.0497,0.0
62,2035,2035,8.1207,2.25
63,2036,2036,15.7133,3.75
64,2037,2037,2.1373,0.0
65,2038,2038,1.4931,0.0
66,2039,2039,1.8337,4.4
67,2040,2040,4.754,0.0
68,2041,2041,2.4666,0.0
69,2042,2042,2.0445,0.0
70,2043,2043,0.8077,0.0
71,2044,2044,3.8539,4.0
72,2045,2045,2.3828,0.0
73,2046,2046,6.0148,0.0
74,2047,2047,2.3101,0.0
75,2048,2048,1.218,0.0
76,2049,2049,1.929,0.0
77,2050,2050,0.8252,0.0
78,2052,2052,0.4341,0.0
79,2060,2060,2.6878,0.0
80,2061,2061,0.6317,0.0
81,2062,2062,1.5527,0.0
82,2063,2063,2.7281,0.0
83,2064,2064,2.5348,0.0
84,2065,2065,5.6761,0.0
85,2066,2066,9.579,0.0
86,2067,2067,5.8197,2.0
87,2068,2068,5.6655,4.2
88,2069,2069,7.5303,0.0
89,2070,2070,7.4617,0.0
90,2071,2071,7.822,0.0
91,2072,2072,3.8097,2.5
92,2073,2073,10.2304,3.65
93,2074,2074,22.0151,3.05
94,2075,2075,17.7427,0.0
95,2076,2076,15.8484,4.075
96,2077,2077,22.8665,3.4799999999999995
97,2079,2079,11.0622,8.0
98,2080,2080,10.5767,0.0
99,2081,2081,40.1939,0.0
100,2082,2082,9.6876,3.8
101,2083,2083,45.774,2.066666666666667
102,2084,2084,107.3731,3.6666666666666665
103,2085,2085,16.2026,2.5
104,2086,2086,8.0259,2.5
105,2087,2087,8.9311,0.0
106,2088,2088,8.6503,0.0
107,2089,2089,1.5105,4.0
108,2090,2090,2.0586,0.0
109,2092,2092,3.1079,0.0
110,2093,2093,7.529,0.0
111,2094,2094,1.1683,0.0
112,2095,2095,5.5668,0.0
113,2096,2096,3.4809,0.0
114,2097,2097,4.7261,0.0
115,2099,2099,12.2704,0.0
116,2100,2100,19.8084,4.0
117,2101,2101,26.6961,0.0
118,2102,2102,4.1945,2.0
119,2103,2103,4.5559,0.0
120,2104,2104,3.7398,0.0
121,2105,2105,2.1888,3.5
122,2106,2106,3.8119,2.5
123,2107,2107,7.8757,2.6
124,2108,2108,2.9542,0.0
125,2109,2109,1.755,0.0
126,2110,2110,4.3304,0.0
127,2111,2111,4.7044,3.0
128,2112,2112,9.3136,2.0
129,2113,2113,11.461,2.0
130,2114,2114,7.3639,3.0
131,2115,2115,3.9346,0.0
132,2116,2116,3.7996,2.0
133,2117,2117,7.1247,5.0
134,2118,2118,8.507,4.0
135,2119,2119,6.7407,2.0
136,2120,2120,13.8138,3.216666666666667
137,2121,2121,9.2013,0.0
138,2122,2122,9.0577,2.0
139,2123,2123,0.0218,0.0
140,2125,2125,9.2916,4.4
141,2126,2126,8.2603,8.0
142,2127,2127,8.1291,0.0
143,2128,2128,2.7,0.0
144,2129,2129,0.4663,0.0
145,2130,2130,1.2031,0.0
146,2131,2131,3.4143,0.0
147,2132,2132,2.4354,0.0
148,2133,2133,2.5503,0.0
149,2134,2134,2.4454,0.0
150,2135,2135,6.5375,2.0
151,2136,2136,3.4638,0.0
152,2137,2137,7.355,2.0
153,2138,2138,3.3902,0.8
154,2139,2139,0.391,0.0
155,2140,2140,3.2826,0.0
156,2141,2141,11.9477,0.0
157,2142,2142,11.0016,0.0
158,2143,2143,4.3104,0.0
159,2144,2144,8.5637,2.8
160,2145,2145,26.3676,3.357142857142857
161,2146,2146,6.0077,4.0
162,2147,2147,15.9973,2.433333333333333
163,2148,2148,38.8818,4.5
164,2150,2150,5.8472,3.5833333333333335
